"Subregion","Season","Temperature_Celcius","Analyte","Unit"
"Sacramento River","Winter",11.1,"temperature","Deg C"
"Sacramento River","Winter",11,"temperature","Deg C"
"Sacramento River","Winter",13.1,"temperature","Deg C"
"North Delta","Winter",11.1,"temperature","Deg C"
"Central Delta","Winter",8.06,"temperature","Deg C"
"Central Delta","Winter",10.45,"temperature","Deg C"
"Central Delta","Winter",10.23,"temperature","Deg C"
"South Delta","Winter",13.22,"temperature","Deg C"
"North Delta","Winter",11.3,"temperature","Deg C"
"Central Delta","Winter",6.93,"temperature","Deg C"
"Central Delta","Winter",9.03,"temperature","Deg C"
"South Delta","Winter",7.5,"temperature","Deg C"
"Central Delta","Winter",8.63,"temperature","Deg C"
"Confluence","Winter",7.31,"temperature","Deg C"
"Central Delta","Winter",10.46,"temperature","Deg C"
"Central Delta","Winter",13.74,"temperature","Deg C"
"North Delta","Winter",13.1,"temperature","Deg C"
"Sacramento River","Winter",13.1,"temperature","Deg C"
"North Delta","Winter",10.3,"temperature","Deg C"
"Central Delta","Winter",10.1,"temperature","Deg C"
"Central Delta","Winter",12.3,"temperature","Deg C"
"Central Delta","Winter",9.29,"temperature","Deg C"
"South Delta","Winter",11.61,"temperature","Deg C"
"Sacramento River","Winter",10.19,"temperature","Deg C"
"Central Delta","Winter",8.9,"temperature","Deg C"
"Central Delta","Winter",12.81,"temperature","Deg C"
"Sacramento River","Winter",14.1,"temperature","Deg C"
"North Delta","Winter",11.5,"temperature","Deg C"
"North Delta","Winter",10.8,"temperature","Deg C"
"Sacramento River","Winter",10.5,"temperature","Deg C"
"Central Delta","Spring",16.17,"temperature","Deg C"
"Central Delta","Spring",17.33,"temperature","Deg C"
"Confluence","Spring",11.94,"temperature","Deg C"
"Central Delta","Spring",12.61,"temperature","Deg C"
"Central Delta","Spring",18.28,"temperature","Deg C"
"South Delta","Spring",14.14,"temperature","Deg C"
"Central Delta","Spring",14,"temperature","Deg C"
"North Delta","Spring",14.9,"temperature","Deg C"
"Sacramento River","Spring",15.9,"temperature","Deg C"
"North Delta","Spring",14.8,"temperature","Deg C"
"Confluence","Spring",14.73,"temperature","Deg C"
"Confluence","Spring",13.72,"temperature","Deg C"
"Sacramento River","Spring",13.7,"temperature","Deg C"
"Central Delta","Spring",16.34,"temperature","Deg C"
"South Delta","Spring",15.89,"temperature","Deg C"
"Central Delta","Spring",14.56,"temperature","Deg C"
"Central Delta","Spring",17.88,"temperature","Deg C"
"Confluence","Spring",14.81,"temperature","Deg C"
"Central Delta","Spring",12.45,"temperature","Deg C"
"Confluence","Spring",14.41,"temperature","Deg C"
"Confluence","Spring",14.65,"temperature","Deg C"
"Sacramento River","Spring",15.4,"temperature","Deg C"
"Sacramento River","Spring",14.3,"temperature","Deg C"
"Sacramento River","Spring",17.1,"temperature","Deg C"
"North Delta","Spring",16.02,"temperature","Deg C"
"North Delta","Spring",16.11,"temperature","Deg C"
"North Delta","Spring",18.2,"temperature","Deg C"
"Confluence","Spring",15.77,"temperature","Deg C"
"Confluence","Spring",15.64,"temperature","Deg C"
"Sacramento River","Spring",15.6,"temperature","Deg C"
"Confluence","Spring",15.75,"temperature","Deg C"
"Confluence","Spring",15.99,"temperature","Deg C"
"Sacramento River","Spring",15.3,"temperature","Deg C"
"Confluence","Spring",14.34,"temperature","Deg C"
"Confluence","Spring",15.53,"temperature","Deg C"
"Sacramento River","Spring",16.6,"temperature","Deg C"
"Confluence","Spring",16.44,"temperature","Deg C"
"Confluence","Spring",16.75,"temperature","Deg C"
"Sacramento River","Spring",15.04,"temperature","Deg C"
"Central Delta","Spring",12.95,"temperature","Deg C"
"Sacramento River","Spring",16.4,"temperature","Deg C"
"North Delta","Spring",15.1,"temperature","Deg C"
"Sacramento River","Spring",14.75,"temperature","Deg C"
"Confluence","Spring",15.36,"temperature","Deg C"
"Confluence","Spring",16.16,"temperature","Deg C"
"North Delta","Spring",14.2,"temperature","Deg C"
"Sacramento River","Spring",16.3,"temperature","Deg C"
"Central Delta","Spring",22.66,"temperature","Deg C"
"Confluence","Spring",14.71,"temperature","Deg C"
"South Delta","Spring",23.67,"temperature","Deg C"
"Central Delta","Spring",21.49,"temperature","Deg C"
"Central Delta","Spring",13.84,"temperature","Deg C"
"Central Delta","Spring",21.3,"temperature","Deg C"
"Central Delta","Spring",15.55,"temperature","Deg C"
"Confluence","Spring",16.05,"temperature","Deg C"
"Confluence","Spring",16.88,"temperature","Deg C"
"Confluence","Spring",16.74,"temperature","Deg C"
"Confluence","Spring",15.96,"temperature","Deg C"
"Sacramento River","Summer",16.6,"temperature","Deg C"
"Sacramento River","Summer",16.1,"temperature","Deg C"
"Central Delta","Summer",17.8,"temperature","Deg C"
"Confluence","Summer",16.1,"temperature","Deg C"
"Central Delta","Summer",17.1,"temperature","Deg C"
"Confluence","Summer",16.23,"temperature","Deg C"
"Confluence","Summer",15.77,"temperature","Deg C"
"Central Delta","Summer",16.4,"temperature","Deg C"
"Central Delta","Summer",16.6,"temperature","Deg C"
"Sacramento River","Summer",18.1,"temperature","Deg C"
"North Delta","Summer",24.61,"temperature","Deg C"
"Sacramento River","Summer",23.5,"temperature","Deg C"
"North Delta","Summer",24.1,"temperature","Deg C"
"North Delta","Summer",23.7,"temperature","Deg C"
"Central Delta","Summer",18.78,"temperature","Deg C"
"Confluence","Summer",20.81,"temperature","Deg C"
"Central Delta","Summer",19.78,"temperature","Deg C"
"South Delta","Summer",25.34,"temperature","Deg C"
"Central Delta","Summer",21.55,"temperature","Deg C"
"Central Delta","Summer",22.69,"temperature","Deg C"
"Confluence","Summer",22.09,"temperature","Deg C"
"Central Delta","Summer",25.04,"temperature","Deg C"
"Central Delta","Summer",22.49,"temperature","Deg C"
"Central Delta","Summer",22.5,"temperature","Deg C"
"Sacramento River","Summer",25.5,"temperature","Deg C"
"North Delta","Summer",24.6,"temperature","Deg C"
"North Delta","Summer",19.8,"temperature","Deg C"
"South Delta","Summer",20.91,"temperature","Deg C"
"South Delta","Summer",19.12,"temperature","Deg C"
"South Delta","Summer",22.92,"temperature","Deg C"
"South Delta","Summer",20.68,"temperature","Deg C"
"Central Delta","Summer",22.21,"temperature","Deg C"
"Central Delta","Summer",30.4,"temperature","Deg C"
"Confluence","Summer",19.47,"temperature","Deg C"
"Central Delta","Summer",27.24,"temperature","Deg C"
"Central Delta","Summer",21.69,"temperature","Deg C"
"Central Delta","Summer",19.65,"temperature","Deg C"
"South Delta","Summer",26.42,"temperature","Deg C"
"Central Delta","Summer",22.59,"temperature","Deg C"
"Central Delta","Summer",27.05,"temperature","Deg C"
"Central Delta","Summer",26.76,"temperature","Deg C"
"Central Delta","Summer",24.4,"temperature","Deg C"
"Central Delta","Summer",22.83,"temperature","Deg C"
"North Delta","Summer",25.15,"temperature","Deg C"
"Central Delta","Summer",17.57,"temperature","Deg C"
"Sacramento River","Summer",21.05,"temperature","Deg C"
"North Delta","Summer",24.93,"temperature","Deg C"
"North Delta","Summer",19.97,"temperature","Deg C"
"North Delta","Summer",21.1,"temperature","Deg C"
"Central Delta","Summer",22.97,"temperature","Deg C"
"North Delta","Summer",21,"temperature","Deg C"
"North Delta","Summer",23.8,"temperature","Deg C"
"North Delta","Summer",20.8,"temperature","Deg C"
"Sacramento River","Summer",25,"temperature","Deg C"
"Central Delta","Summer",22.9,"temperature","Deg C"
"Central Delta","Summer",23.2,"temperature","Deg C"
"Confluence","Summer",22,"temperature","Deg C"
"Central Delta","Summer",22.7,"temperature","Deg C"
"Central Delta","Summer",24.2,"temperature","Deg C"
"Central Delta","Summer",19.1,"temperature","Deg C"
"Central Delta","Summer",19.7,"temperature","Deg C"
"Central Delta","Summer",23.8,"temperature","Deg C"
"Central Delta","Summer",30,"temperature","Deg C"
"Confluence","Summer",18.7,"temperature","Deg C"
"Central Delta","Summer",24.3,"temperature","Deg C"
"South Delta","Summer",30.5,"temperature","Deg C"
"Central Delta","Fall",21.9,"temperature","Deg C"
"Central Delta","Fall",22,"temperature","Deg C"
"North Delta","Fall",20.6,"temperature","Deg C"
"Central Delta","Fall",23.1,"temperature","Deg C"
"Central Delta","Fall",20.5,"temperature","Deg C"
"Central Delta","Fall",21.6,"temperature","Deg C"
"Central Delta","Fall",31.1,"temperature","Deg C"
"South Delta","Fall",27.6,"temperature","Deg C"
"Central Delta","Fall",22.1,"temperature","Deg C"
"Central Delta","Fall",23,"temperature","Deg C"
"Confluence","Fall",21.6,"temperature","Deg C"
"Sacramento River","Fall",22,"temperature","Deg C"
"Central Delta","Fall",29.1,"temperature","Deg C"
"Confluence","Fall",23.5,"temperature","Deg C"
"Confluence","Fall",21.25,"temperature","Deg C"
"Confluence","Fall",21.9,"temperature","Deg C"
"North Delta","Fall",25.66,"temperature","Deg C"
"North Delta","Fall",21.4,"temperature","Deg C"
"North Delta","Fall",21.3,"temperature","Deg C"
"North Delta","Fall",23.5,"temperature","Deg C"
"Sacramento River","Fall",15.8,"temperature","Deg C"
"South Delta","Fall",16.2,"temperature","Deg C"
"Central Delta","Fall",14.7,"temperature","Deg C"
"Central Delta","Fall",14.8,"temperature","Deg C"
"Central Delta","Fall",19.2,"temperature","Deg C"
"Central Delta","Fall",21.6,"temperature","Deg C"
"Central Delta","Fall",17.5,"temperature","Deg C"
"Central Delta","Fall",17.7,"temperature","Deg C"
"Confluence","Fall",16.3,"temperature","Deg C"
"Central Delta","Fall",19.2,"temperature","Deg C"
"Central Delta","Fall",18.6,"temperature","Deg C"
"Central Delta","Fall",19.5,"temperature","Deg C"
"Confluence","Fall",18.3,"temperature","Deg C"
"Sacramento River","Fall",17.5,"temperature","Deg C"
"Central Delta","Fall",18.6,"temperature","Deg C"
"Central Delta","Fall",18.6,"temperature","Deg C"
"North Delta","Fall",22.9,"temperature","Deg C"
"North Delta","Fall",14,"temperature","Deg C"
"Sacramento River","Fall",10,"temperature","Deg C"
"Central Delta","Fall",13.26,"temperature","Deg C"
"North Delta","Fall",10.7,"temperature","Deg C"
"Sacramento River","Fall",11.82,"temperature","Deg C"
"Central Delta","Fall",11.2,"temperature","Deg C"
"Central Delta","Fall",13.2,"temperature","Deg C"
"South Delta","Fall",13.5,"temperature","Deg C"
"Sacramento River","Winter",5.9,"temperature","Deg C"
"North Delta","Winter",8.7,"temperature","Deg C"
"North Delta","Winter",7,"temperature","Deg C"
"Central Delta","Winter",10.8,"temperature","Deg C"
"Central Delta","Winter",7.9,"temperature","Deg C"
"South Delta","Winter",5.66,"temperature","Deg C"
"Central Delta","Winter",12.9,"temperature","Deg C"
"Central Delta","Winter",11.8,"temperature","Deg C"
"Confluence","Winter",6.12,"temperature","Deg C"
"Central Delta","Winter",4.4,"temperature","Deg C"
"Central Delta","Winter",11.3,"temperature","Deg C"
"South Delta","Winter",11.3,"temperature","Deg C"
"Sacramento River","Winter",7.62,"temperature","Deg C"
"North Delta","Winter",8.3,"temperature","Deg C"
"North Delta","Winter",8.5,"temperature","Deg C"
"Sacramento River","Winter",8.4,"temperature","Deg C"
"Sacramento River","Winter",10.28,"temperature","Deg C"
"Central Delta","Winter",9.76,"temperature","Deg C"
"Central Delta","Winter",9.2,"temperature","Deg C"
"Central Delta","Winter",12.6,"temperature","Deg C"
"South Delta","Winter",14.3,"temperature","Deg C"
"Central Delta","Winter",11.7,"temperature","Deg C"
"Central Delta","Winter",12.5,"temperature","Deg C"
"Central Delta","Winter",13.6,"temperature","Deg C"
"North Delta","Winter",12.9,"temperature","Deg C"
"North Delta","Winter",12.4,"temperature","Deg C"
"North Delta","Winter",14.2,"temperature","Deg C"
"Sacramento River","Winter",10.8,"temperature","Deg C"
"North Delta","Winter",17.5,"temperature","Deg C"
"Sacramento River","Winter",10.8,"temperature","Deg C"
"North Delta","Spring",12,"temperature","Deg C"
"Sacramento River","Spring",13.4,"temperature","Deg C"
"North Delta","Spring",12.6,"temperature","Deg C"
"Central Delta","Spring",13.6,"temperature","Deg C"
"Central Delta","Spring",13.6,"temperature","Deg C"
"Confluence","Spring",16.1,"temperature","Deg C"
"Central Delta","Spring",16.4,"temperature","Deg C"
"Central Delta","Spring",18,"temperature","Deg C"
"Central Delta","Spring",16.4,"temperature","Deg C"
"South Delta","Spring",20.6,"temperature","Deg C"
"Confluence","Spring",12.3,"temperature","Deg C"
"Confluence","Spring",12.3,"temperature","Deg C"
"Confluence","Spring",12.3,"temperature","Deg C"
"Confluence","Spring",13.31,"temperature","Deg C"
"Confluence","Spring",13.91,"temperature","Deg C"
"Confluence","Spring",13.3,"temperature","Deg C"
"Confluence","Spring",13.9,"temperature","Deg C"
"Confluence","Spring",13.91,"temperature","Deg C"
"Confluence","Spring",13.8,"temperature","Deg C"
"Central Delta","Spring",16.7,"temperature","Deg C"
"Confluence","Spring",11.1,"temperature","Deg C"
"Central Delta","Spring",12.1,"temperature","Deg C"
"Central Delta","Spring",16,"temperature","Deg C"
"South Delta","Spring",18.4,"temperature","Deg C"
"Central Delta","Spring",13.3,"temperature","Deg C"
"North Delta","Spring",16.5,"temperature","Deg C"
"North Delta","Spring",15,"temperature","Deg C"
"North Delta","Spring",21.2,"temperature","Deg C"
"Confluence","Spring",14.9,"temperature","Deg C"
"Confluence","Spring",15.24,"temperature","Deg C"
"Confluence","Spring",14.9,"temperature","Deg C"
"North Delta","Spring",18.8,"temperature","Deg C"
"North Delta","Spring",22.6,"temperature","Deg C"
"Sacramento River","Spring",23.1,"temperature","Deg C"
"Confluence","Spring",17.6,"temperature","Deg C"
"Confluence","Spring",17.4,"temperature","Deg C"
"Confluence","Spring",17.36,"temperature","Deg C"
"Confluence","Spring",18.87,"temperature","Deg C"
"Confluence","Spring",18.39,"temperature","Deg C"
"Confluence","Spring",18.4,"temperature","Deg C"
"Sacramento River","Spring",16.1,"temperature","Deg C"
"Confluence","Spring",17.79,"temperature","Deg C"
"Confluence","Spring",18.03,"temperature","Deg C"
"Confluence","Spring",17.8,"temperature","Deg C"
"Central Delta","Spring",19.31,"temperature","Deg C"
"Sacramento River","Spring",16.13,"temperature","Deg C"
"North Delta","Spring",20.3,"temperature","Deg C"
"North Delta","Spring",17.3,"temperature","Deg C"
"Confluence","Spring",19.36,"temperature","Deg C"
"Confluence","Spring",15.41,"temperature","Deg C"
"Confluence","Spring",19.06,"temperature","Deg C"
"Confluence","Spring",18.6,"temperature","Deg C"
"Confluence","Spring",18.62,"temperature","Deg C"
"Central Delta","Spring",18.9,"temperature","Deg C"
"Confluence","Spring",18.8,"temperature","Deg C"
"Central Delta","Spring",18.4,"temperature","Deg C"
"Central Delta","Spring",19.2,"temperature","Deg C"
"Central Delta","Spring",19,"temperature","Deg C"
"South Delta","Spring",22.4,"temperature","Deg C"
"Central Delta","Spring",21.7,"temperature","Deg C"
"South Delta","Spring",17.9,"temperature","Deg C"
"North Delta","Spring",22.6,"temperature","Deg C"
"Sacramento River","Spring",21.3,"temperature","Deg C"
"Sacramento River","Spring",19.2,"temperature","Deg C"
"Confluence","Spring",18.75,"temperature","Deg C"
"Confluence","Spring",18.8,"temperature","Deg C"
"Confluence","Spring",19.07,"temperature","Deg C"
"Central Delta","Spring",27.23,"temperature","Deg C"
"Central Delta","Spring",22.95,"temperature","Deg C"
"Central Delta","Spring",18.31,"temperature","Deg C"
"Central Delta","Spring",14.65,"temperature","Deg C"
"Central Delta","Spring",15.1,"temperature","Deg C"
"Central Delta","Spring",16.7,"temperature","Deg C"
"Confluence","Spring",18.5,"temperature","Deg C"
"Confluence","Spring",18.78,"temperature","Deg C"
"Confluence","Spring",18.5,"temperature","Deg C"
"South Delta","Spring",19.5,"temperature","Deg C"
"Sacramento River","Spring",19.6,"temperature","Deg C"
"South Delta","Summer",19.1,"temperature","Deg C"
"Sacramento River","Summer",19.9,"temperature","Deg C"
"Sacramento River","Summer",20.1,"temperature","Deg C"
"North Delta","Summer",18.4,"temperature","Deg C"
"Central Delta","Summer",19.8,"temperature","Deg C"
"Central Delta","Summer",20.1,"temperature","Deg C"
"South Delta","Summer",23.2,"temperature","Deg C"
"Confluence","Summer",21.1,"temperature","Deg C"
"North Delta","Summer",19.3,"temperature","Deg C"
"North Delta","Summer",21.8,"temperature","Deg C"
"Sacramento River","Summer",21.4,"temperature","Deg C"
"North Delta","Summer",28,"temperature","Deg C"
"South Delta","Summer",22.1,"temperature","Deg C"
"South Delta","Summer",23.5,"temperature","Deg C"
"Sacramento River","Summer",22,"temperature","Deg C"
"North Delta","Summer",20,"temperature","Deg C"
"North Delta","Summer",20,"temperature","Deg C"
"Central Delta","Summer",25.7,"temperature","Deg C"
"Central Delta","Summer",19.6,"temperature","Deg C"
"Central Delta","Summer",24.9,"temperature","Deg C"
"Central Delta","Summer",19,"temperature","Deg C"
"South Delta","Summer",22.1,"temperature","Deg C"
"Sacramento River","Summer",19.5,"temperature","Deg C"
"Confluence","Summer",18.9,"temperature","Deg C"
"North Delta","Summer",16.9,"temperature","Deg C"
"Sacramento River","Summer",20.9,"temperature","Deg C"
"South Delta","Summer",24.6,"temperature","Deg C"
"Sacramento River","Summer",19.93,"temperature","Deg C"
"Central Delta","Summer",22.68,"temperature","Deg C"
"Sacramento River","Summer",20.2,"temperature","Deg C"
"South Delta","Summer",24.6,"temperature","Deg C"
"North Delta","Summer",20.8,"temperature","Deg C"
"Central Delta","Summer",26.1,"temperature","Deg C"
"Central Delta","Summer",20.9,"temperature","Deg C"
"Central Delta","Summer",21.8,"temperature","Deg C"
"Central Delta","Summer",21.7,"temperature","Deg C"
"North Delta","Summer",21.3,"temperature","Deg C"
"North Delta","Summer",17.8,"temperature","Deg C"
"Confluence","Summer",23.5,"temperature","Deg C"
"South Delta","Summer",22,"temperature","Deg C"
"North Delta","Summer",26.8,"temperature","Deg C"
"Sacramento River","Summer",21.2,"temperature","Deg C"
"Sacramento River","Summer",23.6,"temperature","Deg C"
"South Delta","Summer",25,"temperature","Deg C"
"Sacramento River","Fall",20,"temperature","Deg C"
"South Delta","Fall",23,"temperature","Deg C"
"Sacramento River","Fall",18.5,"temperature","Deg C"
"North Delta","Fall",14.1,"temperature","Deg C"
"Central Delta","Fall",23.6,"temperature","Deg C"
"Central Delta","Fall",21.7,"temperature","Deg C"
"Central Delta","Fall",16.9,"temperature","Deg C"
"South Delta","Fall",27.1,"temperature","Deg C"
"Central Delta","Fall",23.1,"temperature","Deg C"
"Central Delta","Fall",20.5,"temperature","Deg C"
"Confluence","Fall",16.2,"temperature","Deg C"
"North Delta","Fall",18.9,"temperature","Deg C"
"Sacramento River","Fall",19.2,"temperature","Deg C"
"South Delta","Fall",20,"temperature","Deg C"
"North Delta","Fall",18.4,"temperature","Deg C"
"Central Delta","Fall",20.9,"temperature","Deg C"
"Central Delta","Fall",19.3,"temperature","Deg C"
"South Delta","Fall",27.9,"temperature","Deg C"
"Sacramento River","Fall",22.1,"temperature","Deg C"
"South Delta","Fall",17.3,"temperature","Deg C"
"Sacramento River","Fall",18.6,"temperature","Deg C"
"Sacramento River","Fall",16.6,"temperature","Deg C"
"Sacramento River","Fall",15.3,"temperature","Deg C"
"South Delta","Fall",16,"temperature","Deg C"
"Central Delta","Fall",17.4,"temperature","Deg C"
"Central Delta","Fall",17.4,"temperature","Deg C"
"South Delta","Fall",21,"temperature","Deg C"
"Central Delta","Fall",14.86,"temperature","Deg C"
"Sacramento River","Fall",15.8,"temperature","Deg C"
"Sacramento River","Fall",10.3,"temperature","Deg C"
"North Delta","Fall",10.8,"temperature","Deg C"
"North Delta","Fall",13.4,"temperature","Deg C"
"South Delta","Fall",12,"temperature","Deg C"
"Sacramento River","Fall",12.3,"temperature","Deg C"
"South Delta","Fall",12.5,"temperature","Deg C"
"Sacramento River","Fall",12.4,"temperature","Deg C"
"Central Delta","Winter",16.3,"temperature","Deg C"
"South Delta","Winter",12.6,"temperature","Deg C"
"Central Delta","Winter",15.6,"temperature","Deg C"
"Sacramento River","Winter",12.9,"temperature","Deg C"
"Sacramento River","Winter",11.1,"temperature","Deg C"
"North Delta","Winter",11.6,"temperature","Deg C"
"North Delta","Winter",10.6,"temperature","Deg C"
"South Delta","Winter",10.7,"temperature","Deg C"
"Sacramento River","Winter",9.2,"temperature","Deg C"
"Sacramento River","Winter",8.27,"temperature","Deg C"
"Sacramento River","Winter",7.9,"temperature","Deg C"
"South Delta","Winter",8.2,"temperature","Deg C"
"Central Delta","Winter",2.6,"temperature","Deg C"
"Central Delta","Winter",8.5,"temperature","Deg C"
"Central Delta","Winter",10.5,"temperature","Deg C"
"South Delta","Winter",10,"temperature","Deg C"
"Central Delta","Winter",9.1,"temperature","Deg C"
"Confluence","Winter",3.4,"temperature","Deg C"
"Central Delta","Winter",3.6,"temperature","Deg C"
"North Delta","Winter",8.5,"temperature","Deg C"
"North Delta","Winter",7.1,"temperature","Deg C"
"Sacramento River","Winter",9.7,"temperature","Deg C"
"Sacramento River","Winter",7.7,"temperature","Deg C"
"South Delta","Winter",9.9,"temperature","Deg C"
"Sacramento River","Winter",9.9,"temperature","Deg C"
"Central Delta","Winter",9.13,"temperature","Deg C"
"Sacramento River","Winter",10.03,"temperature","Deg C"
"South Delta","Winter",11.3,"temperature","Deg C"
"Sacramento River","Winter",9,"temperature","Deg C"
"North Delta","Winter",10.5,"temperature","Deg C"
"North Delta","Winter",11.3,"temperature","Deg C"
"North Delta","Winter",9.7,"temperature","Deg C"
"North Delta","Winter",7.7,"temperature","Deg C"
"Sacramento River","Winter",10.6,"temperature","Deg C"
"Central Delta","Winter",11.8,"temperature","Deg C"
"Central Delta","Winter",7.8,"temperature","Deg C"
"South Delta","Winter",14.4,"temperature","Deg C"
"Central Delta","Winter",7.4,"temperature","Deg C"
"Central Delta","Winter",11.6,"temperature","Deg C"
"Central Delta","Winter",10.4,"temperature","Deg C"
"Central Delta","Winter",14.4,"temperature","Deg C"
"South Delta","Winter",17.3,"temperature","Deg C"
"Sacramento River","Spring",12.9,"temperature","Deg C"
"South Delta","Spring",17.1,"temperature","Deg C"
"Central Delta","Spring",24,"temperature","Deg C"
"South Delta","Spring",26.4,"temperature","Deg C"
"Central Delta","Spring",15.6,"temperature","Deg C"
"Central Delta","Spring",20.3,"temperature","Deg C"
"Central Delta","Spring",18.3,"temperature","Deg C"
"Central Delta","Spring",13.5,"temperature","Deg C"
"Central Delta","Spring",24.6,"temperature","Deg C"
"Confluence","Spring",22.1,"temperature","Deg C"
"North Delta","Spring",15.3,"temperature","Deg C"
"Sacramento River","Spring",16.1,"temperature","Deg C"
"North Delta","Spring",15.4,"temperature","Deg C"
"South Delta","Spring",16,"temperature","Deg C"
"Sacramento River","Spring",14.8,"temperature","Deg C"
"Sacramento River","Spring",16.8,"temperature","Deg C"
"Central Delta","Spring",17.7,"temperature","Deg C"
"Central Delta","Spring",18.3,"temperature","Deg C"
"Central Delta","Spring",16.2,"temperature","Deg C"
"Central Delta","Spring",25.1,"temperature","Deg C"
"Confluence","Spring",14.4,"temperature","Deg C"
"Central Delta","Spring",15.2,"temperature","Deg C"
"South Delta","Spring",22,"temperature","Deg C"
"Central Delta","Spring",16.6,"temperature","Deg C"
"Central Delta","Spring",20.2,"temperature","Deg C"
"Central Delta","Spring",19.5,"temperature","Deg C"
"Sacramento River","Spring",16.7,"temperature","Deg C"
"Sacramento River","Spring",16.7,"temperature","Deg C"
"Sacramento River","Spring",16.6,"temperature","Deg C"
"Sacramento River","Spring",16.6,"temperature","Deg C"
"Sacramento River","Spring",16,"temperature","Deg C"
"Sacramento River","Spring",15.8,"temperature","Deg C"
"South Delta","Spring",19.3,"temperature","Deg C"
"North Delta","Spring",18.6,"temperature","Deg C"
"North Delta","Spring",12.3,"temperature","Deg C"
"North Delta","Spring",11.6,"temperature","Deg C"
"Sacramento River","Spring",17.1,"temperature","Deg C"
"South Delta","Spring",17.5,"temperature","Deg C"
"Sacramento River","Spring",19,"temperature","Deg C"
"Sacramento River","Spring",19.2,"temperature","Deg C"
"Sacramento River","Spring",19.4,"temperature","Deg C"
"Confluence","Spring",21.92,"temperature","Deg C"
"North Delta","Spring",18.1,"temperature","Deg C"
"Central Delta","Spring",22.9,"temperature","Deg C"
"Central Delta","Spring",22.4,"temperature","Deg C"
"Central Delta","Spring",17.7,"temperature","Deg C"
"Central Delta","Spring",20.5,"temperature","Deg C"
"Central Delta","Spring",20.9,"temperature","Deg C"
"Central Delta","Spring",26.5,"temperature","Deg C"
"Confluence","Spring",22.3,"temperature","Deg C"
"Central Delta","Spring",20.8,"temperature","Deg C"
"Central Delta","Spring",22.1,"temperature","Deg C"
"Sacramento River","Spring",21,"temperature","Deg C"
"South Delta","Spring",28.5,"temperature","Deg C"
"North Delta","Spring",17.6,"temperature","Deg C"
"Confluence","Spring",19.67,"temperature","Deg C"
"Sacramento River","Spring",20.3,"temperature","Deg C"
"Sacramento River","Summer",21.4,"temperature","Deg C"
"North Delta","Summer",17.9,"temperature","Deg C"
"Sacramento River","Summer",21.4,"temperature","Deg C"
"North Delta","Summer",18.1,"temperature","Deg C"
"North Delta","Summer",23.4,"temperature","Deg C"
"Central Delta","Summer",23.4,"temperature","Deg C"
"Central Delta","Summer",22.4,"temperature","Deg C"
"South Delta","Summer",25.7,"temperature","Deg C"
"Central Delta","Summer",21.9,"temperature","Deg C"
"Central Delta","Summer",21,"temperature","Deg C"
"Confluence","Summer",21,"temperature","Deg C"
"North Delta","Summer",19.8,"temperature","Deg C"
"Central Delta","Summer",23.7,"temperature","Deg C"
"Confluence","Summer",22.35,"temperature","Deg C"
"Sacramento River","Summer",19.8,"temperature","Deg C"
"Sacramento River","Summer",21.5,"temperature","Deg C"
"North Delta","Summer",20.7,"temperature","Deg C"
"North Delta","Summer",16.9,"temperature","Deg C"
"Sacramento River","Summer",22.1,"temperature","Deg C"
"Central Delta","Summer",24.2,"temperature","Deg C"
"South Delta","Summer",23.2,"temperature","Deg C"
"Central Delta","Summer",23.4,"temperature","Deg C"
"Central Delta","Summer",26.1,"temperature","Deg C"
"Central Delta","Summer",24.6,"temperature","Deg C"
"Central Delta","Summer",22.6,"temperature","Deg C"
"Central Delta","Summer",21,"temperature","Deg C"
"Central Delta","Summer",31.1,"temperature","Deg C"
"Sacramento River","Summer",21.3,"temperature","Deg C"
"Confluence","Summer",19.53,"temperature","Deg C"
"Confluence","Summer",20,"temperature","Deg C"
"Sacramento River","Summer",23.1,"temperature","Deg C"
"Central Delta","Summer",24.3,"temperature","Deg C"
"Central Delta","Summer",25.6,"temperature","Deg C"
"Central Delta","Summer",29.8,"temperature","Deg C"
"Central Delta","Summer",26,"temperature","Deg C"
"South Delta","Summer",32.1,"temperature","Deg C"
"Central Delta","Summer",27,"temperature","Deg C"
"Central Delta","Summer",31.7,"temperature","Deg C"
"North Delta","Summer",25,"temperature","Deg C"
"Central Delta","Summer",30,"temperature","Deg C"
"Central Delta","Summer",31.6,"temperature","Deg C"
"Confluence","Summer",23,"temperature","Deg C"
"North Delta","Summer",22.5,"temperature","Deg C"
"North Delta","Summer",19.4,"temperature","Deg C"
"Central Delta","Summer",28.5,"temperature","Deg C"
"South Delta","Summer",25.3,"temperature","Deg C"
"Central Delta","Summer",27.4,"temperature","Deg C"
"North Delta","Summer",23.9,"temperature","Deg C"
"North Delta","Summer",22.2,"temperature","Deg C"
"North Delta","Summer",20.6,"temperature","Deg C"
"North Delta","Summer",18.2,"temperature","Deg C"
"Sacramento River","Summer",22.67,"temperature","Deg C"
"Central Delta","Summer",23.14,"temperature","Deg C"
"Sacramento River","Summer",21.55,"temperature","Deg C"
"Central Delta","Fall",22.98,"temperature","Deg C"
"Sacramento River","Fall",20.5,"temperature","Deg C"
"North Delta","Fall",17,"temperature","Deg C"
"Central Delta","Fall",21.7,"temperature","Deg C"
"Central Delta","Fall",24.8,"temperature","Deg C"
"Confluence","Fall",24,"temperature","Deg C"
